time,fossil,electricity,carbon
1/1/2017 0:00,19.53,20.96,5.2
1/1/2017 1:00,19.53,20.9,5.2
1/1/2017 2:00,19.53,18.13,5.2
1/1/2017 3:00,19.53,16.03,5.2
1/1/2017 4:00,19.53,16.43,5.2
1/1/2017 5:00,19.53,13.75,5.2
1/1/2017 6:00,19.53,11.1,5.2
1/1/2017 7:00,19.53,15.47,5.2
1/1/2017 8:00,19.53,16.88,5.2
1/1/2017 9:00,19.53,21.81,5.2
1/1/2017 10:00,19.53,26.24,5.2
1/1/2017 11:00,19.53,26.42,5.2
1/1/2017 12:00,19.53,27.66,5.2
1/1/2017 13:00,19.53,28.7,5.2
1/1/2017 14:00,19.53,29.66,5.2
1/1/2017 15:00,19.53,35.33,5.2
1/1/2017 16:00,19.53,44.12,5.2
1/1/2017 17:00,19.53,51.59,5.2
1/1/2017 18:00,19.53,53.95,5.2
1/1/2017 19:00,19.53,50.97,5.2
1/1/2017 20:00,19.53,44.93,5.2
1/1/2017 21:00,19.53,38.83,5.2
1/1/2017 22:00,19.53,42.17,5.2
1/1/2017 23:00,19.53,33.06,5.2
1/2/2017 0:00,19.53,30.54,5.246
1/2/2017 1:00,19.53,28.91,5.246
1/2/2017 2:00,19.53,28.11,5.246
1/2/2017 3:00,19.53,27.89,5.246
1/2/2017 4:00,19.53,27.73,5.246
1/2/2017 5:00,19.53,31.18,5.246
1/2/2017 6:00,19.53,37.99,5.246
1/2/2017 7:00,19.53,50.98,5.246
1/2/2017 8:00,19.53,53.88,5.246
1/2/2017 9:00,19.53,53.94,5.246
1/2/2017 10:00,19.53,53.54,5.246
1/2/2017 11:00,19.53,54.91,5.246
1/2/2017 12:00,19.53,54.08,5.246
1/2/2017 13:00,19.53,55.67,5.246
1/2/2017 14:00,19.53,55.98,5.246
1/2/2017 15:00,19.53,56,5.246
1/2/2017 16:00,19.53,57.77,5.246
1/2/2017 17:00,19.53,67.66,5.246
1/2/2017 18:00,19.53,55.1,5.246
1/2/2017 19:00,19.53,53.92,5.246
1/2/2017 20:00,19.53,49.07,5.246
1/2/2017 21:00,19.53,40.25,5.246
1/2/2017 22:00,19.53,45.92,5.246
1/2/2017 23:00,19.53,38.88,5.246
1/3/2017 0:00,19.147,36.02,5.292
1/3/2017 1:00,19.147,34.98,5.292
1/3/2017 2:00,19.147,33.64,5.292
1/3/2017 3:00,19.147,33.89,5.292
1/3/2017 4:00,19.147,33.5,5.292
1/3/2017 5:00,19.147,33.91,5.292
1/3/2017 6:00,19.147,48.13,5.292
1/3/2017 7:00,19.147,54.61,5.292
1/3/2017 8:00,19.147,57.93,5.292
1/3/2017 9:00,19.147,57.18,5.292
1/3/2017 10:00,19.147,52.27,5.292
1/3/2017 11:00,19.147,49.94,5.292
1/3/2017 12:00,19.147,46.3,5.292
1/3/2017 13:00,19.147,41.51,5.292
1/3/2017 14:00,19.147,37.08,5.292
1/3/2017 15:00,19.147,37.03,5.292
1/3/2017 16:00,19.147,39.08,5.292
1/3/2017 17:00,19.147,42.14,5.292
1/3/2017 18:00,19.147,36.67,5.292
1/3/2017 19:00,19.147,36.03,5.292
1/3/2017 20:00,19.147,33.55,5.292
1/3/2017 21:00,19.147,24.56,5.292
1/3/2017 22:00,19.147,17.77,5.292
1/3/2017 23:00,19.147,9.49,5.292
1/4/2017 0:00,19.068,8.5,5.23
1/4/2017 1:00,19.068,-0.05,5.23
1/4/2017 2:00,19.068,-6.27,5.23
1/4/2017 3:00,19.068,-5.09,5.23
1/4/2017 4:00,19.068,0.06,5.23
1/4/2017 5:00,19.068,10.55,5.23
1/4/2017 6:00,19.068,10.98,5.23
1/4/2017 7:00,19.068,31.63,5.23
1/4/2017 8:00,19.068,34.94,5.23
1/4/2017 9:00,19.068,33.27,5.23
1/4/2017 10:00,19.068,33.52,5.23
1/4/2017 11:00,19.068,34.81,5.23
1/4/2017 12:00,19.068,35.08,5.23
1/4/2017 13:00,19.068,35.88,5.23
1/4/2017 14:00,19.068,36.03,5.23
1/4/2017 15:00,19.068,36.17,5.23
1/4/2017 16:00,19.068,36.58,5.23
1/4/2017 17:00,19.068,46.95,5.23
1/4/2017 18:00,19.068,49.45,5.23
1/4/2017 19:00,19.068,48.37,5.23
1/4/2017 20:00,19.068,38.02,5.23
1/4/2017 21:00,19.068,34.55,5.23
1/4/2017 22:00,19.068,33.33,5.23
1/4/2017 23:00,19.068,32.05,5.23
1/5/2017 0:00,19.022,36.07,5.198
1/5/2017 1:00,19.022,36.32,5.198
1/5/2017 2:00,19.022,30.99,5.198
1/5/2017 3:00,19.022,30.97,5.198
1/5/2017 4:00,19.022,35.64,5.198
1/5/2017 5:00,19.022,35.73,5.198
1/5/2017 6:00,19.022,39.03,5.198
1/5/2017 7:00,19.022,51.7,5.198
1/5/2017 8:00,19.022,57.98,5.198
1/5/2017 9:00,19.022,54.11,5.198
1/5/2017 10:00,19.022,53.13,5.198
1/5/2017 11:00,19.022,50.06,5.198
1/5/2017 12:00,19.022,49.97,5.198
1/5/2017 13:00,19.022,48.84,5.198
1/5/2017 14:00,19.022,50.99,5.198
1/5/2017 15:00,19.022,57.48,5.198
1/5/2017 16:00,19.022,69.7,5.198
1/5/2017 17:00,19.022,73.92,5.198
1/5/2017 18:00,19.022,73.76,5.198
1/5/2017 19:00,19.022,65.15,5.198
1/5/2017 20:00,19.022,64.24,5.198
1/5/2017 21:00,19.022,43.09,5.198
1/5/2017 22:00,19.022,53.11,5.198
1/5/2017 23:00,19.022,37.08,5.198
1/6/2017 0:00,18.926,40.84,5.278
1/6/2017 1:00,18.926,41.15,5.278
1/6/2017 2:00,18.926,43.77,5.278
1/6/2017 3:00,18.926,39.97,5.278
1/6/2017 4:00,18.926,40.81,5.278
1/6/2017 5:00,18.926,43.04,5.278
1/6/2017 6:00,18.926,45.37,5.278
1/6/2017 7:00,18.926,49.49,5.278
1/6/2017 8:00,18.926,59.92,5.278
1/6/2017 9:00,18.926,60,5.278
1/6/2017 10:00,18.926,60.04,5.278
1/6/2017 11:00,18.926,57.7,5.278
1/6/2017 12:00,18.926,52.86,5.278
1/6/2017 13:00,18.926,50.05,5.278
1/6/2017 14:00,18.926,50.94,5.278
1/6/2017 15:00,18.926,54.04,5.278
1/6/2017 16:00,18.926,57.52,5.278
1/6/2017 17:00,18.926,64.91,5.278
1/6/2017 18:00,18.926,59.92,5.278
1/6/2017 19:00,18.926,57.99,5.278
1/6/2017 20:00,18.926,43.68,5.278
1/6/2017 21:00,18.926,38.46,5.278
1/6/2017 22:00,18.926,40.94,5.278
1/6/2017 23:00,18.926,35.89,5.278
1/7/2017 0:00,18.926,36.83,5.436
1/7/2017 1:00,18.926,34.37,5.436
1/7/2017 2:00,18.926,33.84,5.436
1/7/2017 3:00,18.926,33.83,5.436
1/7/2017 4:00,18.926,33.62,5.436
1/7/2017 5:00,18.926,32.96,5.436
1/7/2017 6:00,18.926,30.07,5.436
1/7/2017 7:00,18.926,33.58,5.436
