time,fossil,electricity,carbon
1/1/2017 0:00,10.62039312,20.96,5.2
1/1/2017 1:00,10.62039312,20.9,5.2
1/1/2017 2:00,10.62039312,18.13,5.2
1/1/2017 3:00,10.62039312,16.03,5.2
1/1/2017 4:00,10.62039312,16.43,5.2
1/1/2017 5:00,10.62039312,13.75,5.2
1/1/2017 6:00,10.62039312,11.1,5.2
1/1/2017 7:00,10.62039312,15.47,5.2
1/1/2017 8:00,10.62039312,16.88,5.2
1/1/2017 9:00,10.62039312,21.81,5.2
1/1/2017 10:00,10.62039312,26.24,5.2
1/1/2017 11:00,10.62039312,26.42,5.2
1/1/2017 12:00,10.62039312,27.66,5.2
1/1/2017 13:00,10.62039312,28.7,5.2
1/1/2017 14:00,10.62039312,29.66,5.2
1/1/2017 15:00,10.62039312,35.33,5.2
1/1/2017 16:00,10.62039312,44.12,5.2
1/1/2017 17:00,10.62039312,51.59,5.2
1/1/2017 18:00,10.62039312,53.95,5.2
1/1/2017 19:00,10.62039312,50.97,5.2
1/1/2017 20:00,10.62039312,44.93,5.2
1/1/2017 21:00,10.62039312,38.83,5.2
1/1/2017 22:00,10.62039312,42.17,5.2
1/1/2017 23:00,10.62039312,33.06,5.2
1/2/2017 0:00,10.13513514,30.54,5.246
1/2/2017 1:00,10.13513514,28.91,5.246
1/2/2017 2:00,10.13513514,28.11,5.246
1/2/2017 3:00,10.13513514,27.89,5.246
1/2/2017 4:00,10.13513514,27.73,5.246
1/2/2017 5:00,10.13513514,31.18,5.246
1/2/2017 6:00,10.13513514,37.99,5.246
1/2/2017 7:00,10.13513514,50.98,5.246
1/2/2017 8:00,10.13513514,53.88,5.246
1/2/2017 9:00,10.13513514,53.94,5.246
1/2/2017 10:00,10.13513514,53.54,5.246
1/2/2017 11:00,10.13513514,54.91,5.246
1/2/2017 12:00,10.13513514,54.08,5.246
1/2/2017 13:00,10.13513514,55.67,5.246
1/2/2017 14:00,10.13513514,55.98,5.246
1/2/2017 15:00,10.13513514,56,5.246
1/2/2017 16:00,10.13513514,57.77,5.246
1/2/2017 17:00,10.13513514,67.66,5.246
1/2/2017 18:00,10.13513514,55.1,5.246
1/2/2017 19:00,10.13513514,53.92,5.246
1/2/2017 20:00,10.13513514,49.07,5.246
1/2/2017 21:00,10.13513514,40.25,5.246
1/2/2017 22:00,10.13513514,45.92,5.246
1/2/2017 23:00,10.13513514,38.88,5.246
1/3/2017 0:00,10.34398034,36.02,5.292
1/3/2017 1:00,10.34398034,34.98,5.292
1/3/2017 2:00,10.34398034,33.64,5.292
1/3/2017 3:00,10.34398034,33.89,5.292
1/3/2017 4:00,10.34398034,33.5,5.292
1/3/2017 5:00,10.34398034,33.91,5.292
1/3/2017 6:00,10.34398034,48.13,5.292
1/3/2017 7:00,10.34398034,54.61,5.292
1/3/2017 8:00,10.34398034,57.93,5.292
1/3/2017 9:00,10.34398034,57.18,5.292
1/3/2017 10:00,10.34398034,52.27,5.292
1/3/2017 11:00,10.34398034,49.94,5.292
1/3/2017 12:00,10.34398034,46.3,5.292
1/3/2017 13:00,10.34398034,41.51,5.292
1/3/2017 14:00,10.34398034,37.08,5.292
1/3/2017 15:00,10.34398034,37.03,5.292
1/3/2017 16:00,10.34398034,39.08,5.292
1/3/2017 17:00,10.34398034,42.14,5.292
1/3/2017 18:00,10.34398034,36.67,5.292
1/3/2017 19:00,10.34398034,36.03,5.292
1/3/2017 20:00,10.34398034,33.55,5.292
1/3/2017 21:00,10.34398034,24.56,5.292
1/3/2017 22:00,10.34398034,17.77,5.292
1/3/2017 23:00,10.34398034,9.49,5.292
1/4/2017 0:00,10.53439803,8.5,5.23
1/4/2017 1:00,10.53439803,-0.05,5.23
1/4/2017 2:00,10.53439803,-6.27,5.23
1/4/2017 3:00,10.53439803,-5.09,5.23
1/4/2017 4:00,10.53439803,0.06,5.23
1/4/2017 5:00,10.53439803,10.55,5.23
1/4/2017 6:00,10.53439803,10.98,5.23
1/4/2017 7:00,10.53439803,31.63,5.23
1/4/2017 8:00,10.53439803,34.94,5.23
1/4/2017 9:00,10.53439803,33.27,5.23
1/4/2017 10:00,10.53439803,33.52,5.23
1/4/2017 11:00,10.53439803,34.81,5.23
1/4/2017 12:00,10.53439803,35.08,5.23
1/4/2017 13:00,10.53439803,35.88,5.23
1/4/2017 14:00,10.53439803,36.03,5.23
1/4/2017 15:00,10.53439803,36.17,5.23
1/4/2017 16:00,10.53439803,36.58,5.23
1/4/2017 17:00,10.53439803,46.95,5.23
1/4/2017 18:00,10.53439803,49.45,5.23
1/4/2017 19:00,10.53439803,48.37,5.23
1/4/2017 20:00,10.53439803,38.02,5.23
1/4/2017 21:00,10.53439803,34.55,5.23
1/4/2017 22:00,10.53439803,33.33,5.23
1/4/2017 23:00,10.53439803,32.05,5.23
1/5/2017 0:00,10.41154791,36.07,5.198
1/5/2017 1:00,10.41154791,36.32,5.198
1/5/2017 2:00,10.41154791,30.99,5.198
1/5/2017 3:00,10.41154791,30.97,5.198
1/5/2017 4:00,10.41154791,35.64,5.198
1/5/2017 5:00,10.41154791,35.73,5.198
1/5/2017 6:00,10.41154791,39.03,5.198
1/5/2017 7:00,10.41154791,51.7,5.198
1/5/2017 8:00,10.41154791,57.98,5.198
1/5/2017 9:00,10.41154791,54.11,5.198
1/5/2017 10:00,10.41154791,53.13,5.198
1/5/2017 11:00,10.41154791,50.06,5.198
1/5/2017 12:00,10.41154791,49.97,5.198
1/5/2017 13:00,10.41154791,48.84,5.198
1/5/2017 14:00,10.41154791,50.99,5.198
1/5/2017 15:00,10.41154791,57.48,5.198
1/5/2017 16:00,10.41154791,69.7,5.198
1/5/2017 17:00,10.41154791,73.92,5.198
1/5/2017 18:00,10.41154791,73.76,5.198
1/5/2017 19:00,10.41154791,65.15,5.198
1/5/2017 20:00,10.41154791,64.24,5.198
1/5/2017 21:00,10.41154791,43.09,5.198
1/5/2017 22:00,10.41154791,53.11,5.198
1/5/2017 23:00,10.41154791,37.08,5.198
1/6/2017 0:00,10.41154791,40.84,5.278
1/6/2017 1:00,10.41154791,41.15,5.278
1/6/2017 2:00,10.41154791,43.77,5.278
1/6/2017 3:00,10.41154791,39.97,5.278
1/6/2017 4:00,10.41154791,40.81,5.278
1/6/2017 5:00,10.41154791,43.04,5.278
1/6/2017 6:00,10.41154791,45.37,5.278
1/6/2017 7:00,10.41154791,49.49,5.278
1/6/2017 8:00,10.41154791,59.92,5.278
1/6/2017 9:00,10.41154791,60,5.278
1/6/2017 10:00,10.41154791,60.04,5.278
