time,fossil,electricity,carbon
1/1/2015 0:00,11.36,60.21,20.5067061
1/1/2015 1:00,11.36,60.71,20.5067061
1/1/2015 2:00,11.36,75.97,20.5067061
1/1/2015 3:00,11.36,60.74,20.5067061
1/1/2015 4:00,11.36,49,20.5067061
1/1/2015 5:00,11.36,45.55,20.5067061
1/1/2015 6:00,11.36,44.05,20.5067061
1/1/2015 7:00,11.36,43.69,20.5067061
1/1/2015 8:00,11.36,33.75,20.5067061
1/1/2015 9:00,11.36,41.09,20.5067061
1/1/2015 10:00,11.36,45.81,20.5067061
1/1/2015 11:00,11.36,52.46,20.5067061
1/1/2015 12:00,11.36,56.87,20.5067061
1/1/2015 13:00,11.36,64.29,20.5067061
1/1/2015 14:00,11.36,71,20.5067061
1/1/2015 15:00,11.36,67.79,20.5067061
1/1/2015 16:00,11.36,58.44,20.5067061
1/1/2015 17:00,11.36,64.29,20.5067061
1/1/2015 18:00,11.36,105.19,20.5067061
1/1/2015 19:00,11.36,64.29,20.5067061
1/1/2015 20:00,11.36,57.59,20.5067061
1/1/2015 21:00,11.36,60.55,20.5067061
1/1/2015 22:00,11.36,57.34,20.5067061
1/1/2015 23:00,11.36,50.8,20.5067061
1/2/2015 0:00,11.36,53.72,20.5067061
1/2/2015 1:00,11.36,51.37,20.5067061
1/2/2015 2:00,11.36,52.6,20.5067061
1/2/2015 3:00,11.36,51.39,20.5067061
1/2/2015 4:00,11.36,49.09,20.5067061
1/2/2015 5:00,11.36,48.08,20.5067061
1/2/2015 6:00,11.36,51.33,20.5067061
1/2/2015 7:00,11.36,60.47,20.5067061
1/2/2015 8:00,11.36,47.74,20.5067061
1/2/2015 9:00,11.36,50.35,20.5067061
1/2/2015 10:00,11.36,54.97,20.5067061
1/2/2015 11:00,11.36,56.22,20.5067061
1/2/2015 12:00,11.36,55.49,20.5067061
1/2/2015 13:00,11.36,62.31,20.5067061
1/2/2015 14:00,11.36,59.77,20.5067061
1/2/2015 15:00,11.36,58.33,20.5067061
1/2/2015 16:00,11.36,59.55,20.5067061
1/2/2015 17:00,11.36,75.29,20.5067061
1/2/2015 18:00,11.36,105.19,20.5067061
1/2/2015 19:00,11.36,77.45,20.5067061
1/2/2015 20:00,11.36,68.49,20.5067061
1/2/2015 21:00,11.36,59.79,20.5067061
1/2/2015 22:00,11.36,58.71,20.5067061
1/2/2015 23:00,11.36,50.31,20.5067061
1/3/2015 0:00,11.36,53.42,20.5067061
1/3/2015 1:00,11.36,53.99,20.5067061
1/3/2015 2:00,11.36,50.42,20.5067061
1/3/2015 3:00,11.36,46.07,20.5067061
1/3/2015 4:00,11.36,44.24,20.5067061
1/3/2015 5:00,11.36,47.4,20.5067061
1/3/2015 6:00,11.36,50.2,20.5067061
1/3/2015 7:00,11.36,59.29,20.5067061
1/3/2015 8:00,11.36,55.79,20.5067061
1/3/2015 9:00,11.36,61.11,20.5067061
1/3/2015 10:00,11.36,66,20.5067061
1/3/2015 11:00,11.36,60.56,20.5067061
1/3/2015 12:00,11.36,56.51,20.5067061
1/3/2015 13:00,11.36,55.83,20.5067061
1/3/2015 14:00,11.36,55.81,20.5067061
1/3/2015 15:00,11.36,55.79,20.5067061
1/3/2015 16:00,11.36,59.47,20.5067061
1/3/2015 17:00,11.36,80.79,20.5067061
1/3/2015 18:00,11.36,134.04,20.5067061
1/3/2015 19:00,11.36,88.08,20.5067061
1/3/2015 20:00,11.36,66.07,20.5067061
1/3/2015 21:00,11.36,69.77,20.5067061
1/3/2015 22:00,11.36,54.05,20.5067061
1/3/2015 23:00,11.36,49.86,20.5067061
1/4/2015 0:00,11.36,46.65,20.5067061
1/4/2015 1:00,11.36,51.92,20.5067061
1/4/2015 2:00,11.36,49.67,20.5067061
1/4/2015 3:00,11.36,48.25,20.5067061
1/4/2015 4:00,11.36,44.88,20.5067061
1/4/2015 5:00,11.36,44.87,20.5067061
1/4/2015 6:00,11.36,48.95,20.5067061
1/4/2015 7:00,11.36,57.55,20.5067061
1/4/2015 8:00,11.36,56.14,20.5067061
1/4/2015 9:00,11.36,59.69,20.5067061
1/4/2015 10:00,11.36,63.44,20.5067061
1/4/2015 11:00,11.36,64.81,20.5067061
1/4/2015 12:00,11.36,61.41,20.5067061
1/4/2015 13:00,11.36,56.75,20.5067061
1/4/2015 14:00,11.36,56.18,20.5067061
1/4/2015 15:00,11.36,55.83,20.5067061
1/4/2015 16:00,11.36,66.68,20.5067061
1/4/2015 17:00,11.36,74.39,20.5067061
1/4/2015 18:00,11.36,144.52,20.5067061
1/4/2015 19:00,11.36,94.49,20.5067061
1/4/2015 20:00,11.36,70.8,20.5067061
1/4/2015 21:00,11.36,64.17,20.5067061
1/4/2015 22:00,11.36,58.84,20.5067061
1/4/2015 23:00,11.36,51.48,20.5067061
1/5/2015 0:00,11.36,50.03,20.5067061
1/5/2015 1:00,11.36,49.56,20.5067061
1/5/2015 2:00,11.36,48.84,20.5067061
1/5/2015 3:00,11.36,46.37,20.5067061
1/5/2015 4:00,11.36,43.34,20.5067061
1/5/2015 5:00,11.36,44.13,20.5067061
1/5/2015 6:00,11.36,48.83,20.5067061
1/5/2015 7:00,11.36,57.47,20.5067061
1/5/2015 8:00,11.36,59.77,20.5067061
1/5/2015 9:00,11.36,62.32,20.5067061
1/5/2015 10:00,11.36,69.33,20.5067061
1/5/2015 11:00,11.36,62.27,20.5067061
1/5/2015 12:00,11.36,54.76,20.5067061
1/5/2015 13:00,11.36,54.68,20.5067061
1/5/2015 14:00,11.36,54.18,20.5067061
1/5/2015 15:00,11.36,55.75,20.5067061
1/5/2015 16:00,11.36,67.61,20.5067061
1/5/2015 17:00,11.36,77.12,20.5067061
1/5/2015 18:00,11.36,146.98,20.5067061
1/5/2015 19:00,11.36,91.65,20.5067061
1/5/2015 20:00,11.36,69.4,20.5067061
1/5/2015 21:00,11.36,61.34,20.5067061
1/5/2015 22:00,11.36,55.6,20.5067061
1/5/2015 23:00,11.36,48.83,20.5067061
1/6/2015 0:00,11.36,51.13,20.5067061
1/6/2015 1:00,11.36,52.73,20.5067061
1/6/2015 2:00,11.36,50.91,20.5067061
1/6/2015 3:00,11.36,47.03,20.5067061
1/6/2015 4:00,11.36,45.66,20.5067061
1/6/2015 5:00,11.36,44.56,20.5067061
1/6/2015 6:00,11.36,49.16,20.5067061
1/6/2015 7:00,11.36,54.76,20.5067061
1/6/2015 8:00,11.36,54.73,20.5067061
1/6/2015 9:00,11.36,64.48,20.5067061
1/6/2015 10:00,11.36,63.88,20.5067061
1/6/2015 11:00,11.36,59.48,20.5067061
1/6/2015 12:00,11.36,55.19,20.5067061
1/6/2015 13:00,11.36,56.69,20.5067061
1/6/2015 14:00,11.36,54.65,20.5067061
1/6/2015 15:00,11.36,54.02,20.5067061
1/6/2015 16:00,11.36,54.57,20.5067061
1/6/2015 17:00,11.36,68.89,20.5067061
1/6/2015 18:00,11.36,116.11,20.5067061
1/6/2015 19:00,11.36,71.81,20.5067061
1/6/2015 20:00,11.36,58.72,20.5067061
1/6/2015 21:00,11.36,58.64,20.5067061
1/6/2015 22:00,11.36,60.41,20.5067061
1/6/2015 23:00,11.36,49.33,20.5067061
1/7/2015 0:00,11.36,53.74,20.5067061
1/7/2015 1:00,11.36,53.84,20.5067061
1/7/2015 2:00,11.36,50.61,20.5067061
1/7/2015 3:00,11.36,48.39,20.5067061
1/7/2015 4:00,11.36,46.88,20.5067061
1/7/2015 5:00,11.36,47.83,20.5067061
1/7/2015 6:00,11.36,47.15,20.5067061
1/7/2015 7:00,11.36,44.31,20.5067061
1/7/2015 8:00,11.36,46.76,20.5067061
1/7/2015 9:00,11.36,48.9,20.5067061
1/7/2015 10:00,11.36,61.95,20.5067061
1/7/2015 11:00,11.36,63.02,20.5067061
1/7/2015 12:00,11.36,62.5,20.5067061
1/7/2015 13:00,11.36,62.26,20.5067061
1/7/2015 14:00,11.36,53.81,20.5067061
1/7/2015 15:00,11.36,52.03,20.5067061
1/7/2015 16:00,11.36,57.72,20.5067061
1/7/2015 17:00,11.36,71.92,20.5067061
1/7/2015 18:00,11.36,108.24,20.5067061
1/7/2015 19:00,11.36,80.13,20.5067061
1/7/2015 20:00,11.36,66.65,20.5067061
1/7/2015 21:00,11.36,58.61,20.5067061
1/7/2015 22:00,11.36,56.71,20.5067061
1/7/2015 23:00,11.36,47.91,20.5067061
1/8/2015 0:00,11.36,51.51,20.5067061
1/8/2015 1:00,11.36,52.41,20.5067061
1/8/2015 2:00,11.36,54.19,20.5067061
1/8/2015 3:00,11.36,49.06,20.5067061
1/8/2015 4:00,11.36,46.88,20.5067061
1/8/2015 5:00,11.36,46.89,20.5067061
1/8/2015 6:00,11.36,46.06,20.5067061
1/8/2015 7:00,11.36,48.97,20.5067061
1/8/2015 8:00,11.36,40.95,20.5067061
1/8/2015 9:00,11.36,45.62,20.5067061
1/8/2015 10:00,11.36,56.73,20.5067061
1/8/2015 11:00,11.36,57.4,20.5067061
1/8/2015 12:00,11.36,65.55,20.5067061
1/8/2015 13:00,11.36,63.11,20.5067061
1/8/2015 14:00,11.36,56.03,20.5067061
1/8/2015 15:00,11.36,54.25,20.5067061
1/8/2015 16:00,11.36,55.36,20.5067061
1/8/2015 17:00,11.36,71.08,20.5067061
1/8/2015 18:00,11.36,111.08,20.5067061
1/8/2015 19:00,11.36,78.94,20.5067061
1/8/2015 20:00,11.36,68.81,20.5067061
1/8/2015 21:00,11.36,64.34,20.5067061
1/8/2015 22:00,11.36,48.15,20.5067061
1/8/2015 23:00,11.36,41.7,20.5067061
1/9/2015 0:00,11.36,46.53,20.5067061
1/9/2015 1:00,11.36,49.8,20.5067061
1/9/2015 2:00,11.36,48.89,20.5067061
1/9/2015 3:00,11.36,43.86,20.5067061
1/9/2015 4:00,11.36,39.77,20.5067061
1/9/2015 5:00,11.36,38.6,20.5067061
1/9/2015 6:00,11.36,43.92,20.5067061
1/9/2015 7:00,11.36,55.94,20.5067061
1/9/2015 8:00,11.36,54.27,20.5067061
1/9/2015 9:00,11.36,65.84,20.5067061
1/9/2015 10:00,11.36,64.58,20.5067061
1/9/2015 11:00,11.36,60.12,20.5067061
1/9/2015 12:00,11.36,58.73,20.5067061
1/9/2015 13:00,11.36,54.93,20.5067061
1/9/2015 14:00,11.36,50.94,20.5067061
1/9/2015 15:00,11.36,48.5,20.5067061
1/9/2015 16:00,11.36,50.93,20.5067061
1/9/2015 17:00,11.36,75.72,20.5067061
1/9/2015 18:00,11.36,96.37,20.5067061
1/9/2015 19:00,11.36,78.25,20.5067061
1/9/2015 20:00,11.36,69.99,20.5067061
1/9/2015 21:00,11.36,61.36,20.5067061
1/9/2015 22:00,11.36,47.35,20.5067061
1/9/2015 23:00,11.36,33.77,20.5067061
1/10/2015 0:00,11.36,48.44,20.5067061
1/10/2015 1:00,11.36,49.2,20.5067061
1/10/2015 2:00,11.36,47.32,20.5067061
1/10/2015 3:00,11.36,46.26,20.5067061
1/10/2015 4:00,11.36,42.24,20.5067061
1/10/2015 5:00,11.36,38.95,20.5067061
